"항목","시점","통계분류(1)",통계분류(2),데이터
"사례수","2018","전체",소계,178540
"사례수","2018","예술활동 분야별",문학,13311
"사례수","2018","예술활동 분야별",미술,46266
"사례수","2018","예술활동 분야별",공예,1976
"사례수","2018","예술활동 분야별",사진,11099
"사례수","2018","예술활동 분야별",건축,3725
"사례수","2018","예술활동 분야별",음악,11420
"사례수","2018","예술활동 분야별",국악,7981
"사례수","2018","예술활동 분야별",대중음악,25571
"사례수","2018","예술활동 분야별",방송,10337
"사례수","2018","예술활동 분야별",무용,6620
"사례수","2018","예술활동 분야별",연극,18517
"사례수","2018","예술활동 분야별",영화,5811
"사례수","2018","예술활동 분야별",만화,1936
"사례수","2018","예술활동 분야별",기타,13970
"사례수","2018","권역별",서울,71391
"사례수","2018","권역별",인천/경기,42022
"사례수","2018","권역별",부산/울산/대구/경북/경남,26975
"사례수","2018","권역별",대전/충청/강원,14369
"사례수","2018","권역별",광주/전라/제주,16753
"사례수","2018","권역별",모름/무응답,7030
"사례수","2018","성별",남성,109775
"사례수","2018","성별",여성,68765
"사례수","2018","연령별",39세 이하,55366
"사례수","2018","연령별",40대,35720
"사례수","2018","연령별",50대,37522
"사례수","2018","연령별",60세이상,49932
"사례수","2018","학력별",고졸 이하,33862
"사례수","2018","학력별",대졸,90747
"사례수","2018","학력별",대학원이상,50563
"사례수","2018","학력별",모름/무응답,3369
"사례수","2018","가구소득별",하(3000만원 미만),86782
"사례수","2018","가구소득별",중(3~5000만원 미만),39394
"사례수","2018","가구소득별",상(5000만원 이상),52364
"화가 및 조각가","2018","전체",소계,20.9
"화가 및 조각가","2018","예술활동 분야별",문학,1.5
"화가 및 조각가","2018","예술활동 분야별",미술,75.8
"화가 및 조각가","2018","예술활동 분야별",공예,2.3
"화가 및 조각가","2018","예술활동 분야별",사진,0.2
"화가 및 조각가","2018","예술활동 분야별",건축,3.3
"화가 및 조각가","2018","예술활동 분야별",음악,0
"화가 및 조각가","2018","예술활동 분야별",국악,0
"화가 및 조각가","2018","예술활동 분야별",대중음악,0
"화가 및 조각가","2018","예술활동 분야별",방송,0.2
"화가 및 조각가","2018","예술활동 분야별",무용,0
"화가 및 조각가","2018","예술활동 분야별",연극,0.1
"화가 및 조각가","2018","예술활동 분야별",영화,0.6
"화가 및 조각가","2018","예술활동 분야별",만화,1.4
"화가 및 조각가","2018","예술활동 분야별",기타,12.4
"화가 및 조각가","2018","권역별",서울,14
"화가 및 조각가","2018","권역별",인천/경기,21.7
